system:index,NDVI_max,NDVI_mean,NDVI_min,NDVI_stdDev,NDWI_max,NDWI_mean,NDWI_min,NDWI_stdDev,fecha,fuente,humedal,mes,nubes_pct,sensor_id,.geo
20260417T152651_20260417T152652_T18PWT,1.0,0.10346315560505066,-1.0,0.477925215331777,1.0,0.03820875580597971,-1.0,0.5405506692507398,2026-04-17,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,04,13.315146,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260419T152941_20260419T152939_T18PWT,1.0,0.1457709658748821,-1.0,0.5361426587205815,1.0,-0.002753753650907531,-1.0,0.5977835968405818,2026-04-19,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,04,11.812095,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260419T152941_20260419T152939_T18PWS,1.0,0.498753279963848,-1.0,0.4715215905033561,1.0,-0.42927259021986053,-1.0,0.4774138449980702,2026-04-19,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,04,7.382203,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260420T153631_20260420T153813_T18PWS,1.0,0.4205700350268349,-0.9166666666666666,0.3471988004444261,0.9342560553633218,-0.3741711965167557,-1.0,0.33849565321983466,2026-04-20,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,04,17.661238,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260507T152651_20260507T152653_T18PWT,0.9371035940803383,0.1576301951076731,-1.0,0.4485953330016117,1.0,-0.027951437984423847,-0.8894472361809045,0.5036213236497262,2026-05-07,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,7.146601,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260507T152651_20260507T152653_T18PWS,1.0,0.49560390325212533,-1.0,0.4087121498991997,1.0,-0.4116670008501564,-1.0,0.41247619133009644,2026-05-07,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,9.517299,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260509T152931_20260509T152934_T18PWT,1.0,0.18853828709558754,-1.0,0.5269087163537435,1.0,-0.056562187800241574,-1.0,0.5844702707242535,2026-05-09,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,2.443073,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260510T153631_20260510T153929_T18PWT,1.0,0.2750252881020575,-1.0,0.43532753703638916,1.0,-0.2150018677916899,-1.0,0.41818124487224184,2026-05-10,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,10.522736,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260515T153619_20260515T153852_T18PWT,1.0,0.23857082579822175,-1.0,0.4797615021655146,1.0,-0.1768190997679585,-1.0,0.459398142677877,2026-05-15,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,3.21782,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260515T153619_20260515T153852_T18PWS,0.9908675799086758,0.47361243725380353,-0.9017013232514177,0.3708725410042097,0.9221556886227545,-0.3989618550987593,-0.8793103448275862,0.3695198444296856,2026-05-15,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,8.042604,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260517T152651_20260517T152804_T18PWT,1.0,0.19014029847303193,-0.9297520661157025,0.4509961866231253,0.943801652892562,-0.0640274322747135,-1.0,0.5059863170571027,2026-05-17,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,6.680781,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260517T152651_20260517T152804_T18PWS,0.9927184466019418,0.4903820240669041,-1.0,0.4071340130029043,1.0,-0.4023302923914823,-0.9517102615694165,0.418561465141886,2026-05-17,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,14.84556,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260519T152711_20260519T152708_T18PWT,1.0,0.18887832982279937,-1.0,0.5041484757102752,1.0,-0.04790679972266969,-1.0,0.5633734743457639,2026-05-19,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,4.162712,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260520T153621_20260520T153624_T18PWT,1.0,0.23874063951891392,-1.0,0.49683547611955675,1.0,-0.17835089626295925,-1.0,0.48000541156102794,2026-05-20,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,1.12523,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260520T153621_20260520T153624_T18PWS,0.9432150313152401,0.46517966295055413,-0.9012987012987013,0.3692522425010035,0.9274809160305344,-0.4019334346998302,-0.908485856905158,0.3640448942933265,2026-05-20,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,0.725689,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260522T152649_20260522T152648_T18PWT,0.9443176631675034,0.09685534676444053,-1.0,0.449549748229236,1.0,0.044765306300505986,-0.8488271068635969,0.503393954415234,2026-05-22,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,16.528754,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260522T152649_20260522T152648_T18PWS,1.0,0.4602664407179989,-1.0,0.4296437099673107,1.0,-0.36705014497533156,-1.0,0.43561801004336204,2026-05-22,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,15.41848,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260525T153619_20260525T153851_T18PWT,1.0,0.25244395047983803,-1.0,0.41808678062851595,1.0,-0.18631223422223359,-1.0,0.4038835408733657,2026-05-25,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,2.010805,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260525T153619_20260525T153851_T18PWS,0.919732441471572,0.39907050355379353,-0.8371040723981901,0.3705512756964416,0.88,-0.3304700250372189,-0.8201777313120753,0.36341697952271623,2026-05-25,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,6.398639,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260601T152649_20260601T152648_T18PWT,1.0,0.1693024491174558,-1.0,0.5484168773559245,1.0,-0.015120156207428861,-1.0,0.6080747754277619,2026-06-01,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,06,8.620436,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
